Altium Designer Pick and Place Locations
C:\Users\ARDA\Desktop\Altium\ALTÝUM PROJECT\FÝRST PROJECT\FIRST-PROJECT\Pcb\Project Outputs for FIRST-PROJECT\Pick Place for FIRST_PROJECT_PCB.txt

========================================================================================================================
File Design Information:

Date:       07.02.24
Time:       16:51
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

Designator Comment             Layer       Footprint                     Center-X(mil) Center-Y(mil) Rotation Description                                                                                        
C31        CL21B105KAFNNNE     TopLayer    CAP-0805                      2591.000      965.598       90       "Multilayer Ceramic Capacitor, 1 uF, 25 V, ± 10%, X7R, 0805 [2012 Metric]"                         
C47        CL21B105KAFNNNE     TopLayer    CAP-0805                      897.176       1536.890      90       "Multilayer Ceramic Capacitor, 1 uF, 25 V, ± 10%, X7R, 0805 [2012 Metric]"                         
K2         ALQ112              TopLayer    ALQ112                        2034.577      2901.457      0        "Electromechanical Relay 12VDC 360Ohm 10(NO)/3(NC)A SPDT (( 20mm 10mm 16mm)) THT Power Relay"      
K1         ALQ112              TopLayer    ALQ112                        2549.341      2901.457      0        "Electromechanical Relay 12VDC 360Ohm 10(NO)/3(NC)A SPDT (( 20mm 10mm 16mm)) THT Power Relay"      
C7         EEV686M035A9HAA     TopLayer    CAP_ALUM_HYB_68UF_20%_35V_SMD 1419.538      1292.937      90       "Cap Aluminum Lytic 68uF 35V 20%( 6.3 X 7.7mm) SMD 0.34 Ohm 280mA 2000h 105C T/R"                  
C27        CL21B105KAFNNNE     TopLayer    CAP-0805                      2594.000      475.598       90       "Multilayer Ceramic Capacitor, 1 uF, 25 V, ± 10%, X7R, 0805 [2012 Metric]"                         
D2         1N4148WS            TopLayer    SOT-323                       822.373       1828.416      90       "Diode Ultra Fast Recovery Rectifier 75V 0.15A 2-Pin SOD-323F T/R"                                 
X2         ABS05-32.768KHZ-T   TopLayer    ABS05                         2686.000      737.701       0        "CRYSTAL 32.768kHz ±20ppm Crystal 12.5pF 90 kOhm -40°C ^ 85°C Surface Mount 2-SMD"                 
X1         ECS-160-20-30B-TR   TopLayer    ECX_53b                       1727.350      1225.121      45       "Crystal 16MHz ±30ppm (Tol) ±50ppm (Stability) 20pF FUND 50Ohm 4-Pin Mini-SMD T/R"                 
USB1       10118192-0002LF     TopLayer    MÝCRO_B_USB                   2322.373      111.781       0        "2.50mm Pitch, Mini-Lock Receptacle Crimp Housing, Single Row, Positive Lock, 2 Circuits, Natural" 
U9         NCS36000DRG         BottomLayer SOIC-14                       3290.876      663.662       0        "PIR CONTROLLER NCS36000 Series Single 5.75V Passive Infrared Detector Controller (PIR) -SOIC-14"  
U8         OPA314AIDBVR        BottomLayer SOT23-5                       3462.132      151.851       0        "IC OPAMP GP 3MHZ RRO SOT23-5"                                                                     
U7         M41T00M6F           TopLayer    SO8                           2736.000      896.701       0        "Real-time Clocks Clock/Calendar I2C, 2-Wire Serial 70uA @ 2V ~ 5.5V SOIC-8_150mil RoHS"           
U6         MAX6662MSA+         TopLayer    SO8                           2338.120      588.040       270      "Temp Sensor Digital Serial (3-Wire, SPI) 8-Pin SOIC N Tube"                                       
U5         USBLC6-2SC6         TopLayer    SOT23-6                       2208.000      329.000       0        "USBLC6 Series 2 Line 6 V Uni / Bi-Directional ESD Protection - SOT-23-6"                          
U4         STM32F103C6T6A      TopLayer    LQFP48                        2116.625      1229.991      270      "MCU 32-bit STM32F ARM Cortex M3 RISC 32KB Flash 2.5V/3.3V 48-Pin LQFP Tray"                       
U3         ESP32-WROOM-32N4    TopLayer    ESP32­WROOM­32-N4             1188.703      654.103       180      "Rx Txrx Mod Wifi Surface Mount"                                                                   
U2         AP7361-33E-13       TopLayer    SOT223                        1586.475      1686.000      0        "AP7361 Series 3.3 V 1 A Low SMT Dropout Fixed-Mode Regulator - SOT-223"                           
U1         LM2675MX-12/NOPB    TopLayer    SOIC-8                        1082.215      1598.898      90       "SIMPLE SWITCHER® 6.5V to 40V, 1A Low Component Count Step-Down Regulator 8-SOIC -40 to 125"       
T1         BV302512010-ZU      TopLayer    BV302512010-ZU                1097.964      2623.692      180      "PWR XFMR LAMINATED 1VA TH"                                                                        
S2         "LHI 878/3902"      TopLayer    TO-5-3                        3246.585      955.985       0        "SENSOR PYRO DETECTOR DUAL MOTION"                                                                 
S1         EG1215AA            TopLayer    SWÝCH_SLÝDE                   1889.701      83.874        0        "Slide Switch, SPDT, 0.025A, 24V, SMD"                                                             
RT1        TFPT1206L1002FM     BottomLayer TFPT1206                      3462.475      379.000       180      "Thermistor PTC 10K Ohm 1% 2-Pin 1206 Surface Mount Solder Pad T/R Automotive"                     
R38        RMCF0603FT100R      TopLayer    RES-0603                      3278.975      753.000       180      "Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                         
R37        RMCF0603FT1K00      TopLayer    RES-0603                      3279.069      441.221       180      "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                       
R36        WR06X2203FTL        BottomLayer RES-0603                      3617.648      781.768       90       "Res Thick Film 0603 220K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                
R35        RMCF0603ZT0R00      BottomLayer RES-0603                      3464.105      683.343       90       "Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"                             
R34        RMCF0603FT1K00      BottomLayer RES-0603                      3574.341      516.020       270      "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                       
R33        RMCF0603ZT0R00      BottomLayer RES-0603                      3491.475      603.000       180      "Res Thkflm 0603 0 Ohm Jumper 1/10W 100Ppm/ C Smd Rohs Compliant: Yes"                             
R32        WR06X2203FTL        BottomLayer RES-0603                      3239.695      41.615        180      "Res Thick Film 0603 220K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                
R31        WR06X2203FTL        BottomLayer RES-0603                      3239.695      92.796        180      "Res Thick Film 0603 220K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD T/R"                                
R30        RMCF0603FT1K00      BottomLayer RES-0603                      3381.428      37.678        180      "Res Thick Film 0603 1K Ohm 1% 0.1W(1/10W) ±100ppm/C Pad SMD Automotive T/R"                       
R29        RMCF0603FT43K0      BottomLayer RES-0603                      3082.219      722.717       0        "Res Thick Film 0603 43K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                         
R28        RMCF0603FT560K      BottomLayer RES-0603                      3125.274      520.231       270      "Res Thick Film 0603 560K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                        
R27        RC0603FR-0710KL     BottomLayer RES-0603                      3022.912      520.231       90       "SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"        
R26        RMCF0603FT560K      BottomLayer RES-0603                      3046.782      636.103       270      "Res Thick Film 0603 560K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                        
R25        RC0603FR-0710KL     BottomLayer RES-0603                      3468.034      258.150       0        "SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"        
R24        RC0603FR-0710KL     BottomLayer RES-0603                      2995.601      893.981       270      "SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"        
R19        RC0603FR-0710KL     TopLayer    RES-0603                      2556.620      663.040       0        "SMD Chip Resistor, 10 kOhm, ± 1%, 100 mW, 0603 [1608 Metric], Thick Film, General Purpose"        
R22        RMCF0603FT100R      TopLayer    RES-0603                      1966.000      880.000       90       "Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                         
R21        RMCF0603FT100R      TopLayer    RES-0603                      2065.000      880.000       90       "Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                         
R20        RMCF0603FT100R      TopLayer    RES-0603                      2015.000      880.000       90       "Res Thick Film 0603 100 Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                         
R18        RMCF0603FT4K70      TopLayer    RES-0603                      2729.500      1139.701      180      "Res Thick Film 0603 4.7K Ohm 1% 1/10W ±100ppm/°C Molded SMD SMD Paper T/R"                        
